代码,名称,日期,周收益(%),近一月(%),近三月(%),近半年(%),近一年(%),总收益(%),净值
516190,华夏中证文娱传媒ETF,2026-04-29,-3.22,-3.98,0.90,-19.81,-0.35,17.96,1.18
510630,华夏消费ETF,2026-04-29,2.73,-4.04,0.51,-6.18,-6.07,251.64,0.88
563320,华泰柏瑞中证通用航空主题ETF,2026-04-29,-6.62,-4.04,2.90,-11.43,15.91,8.68,1.09
513900,华安CES港股通精选100ETF,2026-04-29,-1.82,-4.05,2.49,-11.15,-7.92,2.83,1.03
159166,长城国证自由现金流ETF,2026-04-29,1.46,-4.05,1.19,-4.05,-4.05,-4.05,0.96
560230,富国中证光伏产业ETF,2026-04-29,-2.25,-4.09,-4.19,-4.09,-4.09,-4.09,0.96
510900,易方达恒生国企(QDII-ETF),2026-04-29,-0.06,-4.35,3.26,-9.86,-9.71,14.53,1.10
159850,华夏恒生中国企业ETF(QDII),2026-04-29,-0.08,-4.38,3.26,-9.90,-9.75,-13.78,0.86
159638,嘉实中证高端装备细分50ETF,2026-04-29,-5.78,-4.40,2.17,-10.71,10.98,1.17,1.01
159377,国泰创业板医药卫生ETF,2026-04-29,0.04,-4.47,3.18,-8.78,-13.11,6.65,1.07
159283,南方中证通用航空主题ETF,2026-04-29,-6.78,-4.64,2.72,-11.95,15.06,11.39,1.11
159265,鹏华国证港股通消费主题ETF,2026-04-29,-1.02,-4.65,0.60,-10.61,-9.09,-9.14,0.91
159954,南方恒生中国企业ETF,2026-04-29,-0.15,-4.70,2.83,-10.64,-10.10,-2.74,0.97
159647,中药ETF,2026-04-29,0.10,-4.75,-1.27,-6.03,-7.54,-7.65,0.92
159109,景顺长城恒生港股通50ETF,2026-04-29,-0.56,-4.77,2.66,-12.22,-10.97,-12.43,0.88
159285,华安国证港股通消费主题ETF,2026-04-29,-1.04,-4.78,0.60,-10.82,-9.35,-12.52,0.87
159268,汇添富国证港股通消费主题ETF,2026-04-29,-1.06,-4.80,0.61,-10.85,-9.39,-12.16,0.88
159328,易方达中证家电龙头ETF,2026-04-29,1.45,-4.81,4.65,-5.84,-4.98,8.87,1.09
560080,汇添富中证中药ETF,2026-04-29,0.09,-4.81,-1.30,-6.07,-7.65,-0.56,0.99
159561,嘉实德国DAX ETF(QDII),2026-04-28,-1.52,-4.83,8.23,-7.27,-4.44,29.54,--
520950,摩根恒生港股通50ETF,2026-04-29,-0.56,-4.83,2.66,-12.29,-9.74,-9.74,0.90
516900,华安中证申万食品饮料ETF,2026-04-29,1.98,-4.88,0.80,-6.89,-8.26,-44.88,0.55
561510,华泰柏瑞中证中药ETF,2026-04-29,0.09,-4.88,-1.34,-6.13,-7.70,-3.11,0.97
159186,鹏华恒生港股通汽车主题ETF,2026-04-29,-4.37,-4.89,-4.89,-4.89,-4.89,-4.89,0.95
159245,富国国证港股通消费主题ETF,2026-04-29,-1.06,-4.89,0.58,-10.94,-9.46,-11.24,0.89
513030,华安德国(DAX)ETF,2026-04-28,-1.51,-4.90,8.15,-7.21,-4.58,77.05,--
516520,华泰柏瑞中证智能汽车主题ETF,2026-04-29,-2.43,-4.92,4.64,-8.75,-7.33,22.23,1.22
562390,中药,2026-04-29,0.09,-4.94,-1.36,-6.18,-7.82,-9.30,0.91
159512,广发中证全指汽车ETF,2026-04-29,0.20,-4.97,1.34,-3.38,-10.35,37.25,1.37
159736,天弘中证食品饮料ETF,2026-04-29,1.84,-4.99,0.98,-7.65,-7.94,-34.82,0.65
159936,广发中证全指可选消费ETF,2026-04-29,0.19,-5.05,3.31,-4.43,-5.28,110.60,2.11
560310,博时中证光伏产业ETF,2026-04-29,-2.25,-5.05,-4.19,-5.05,-5.05,-5.05,0.95
159843,招商国证食品饮料ETF,2026-04-29,1.62,-5.11,0.64,-7.45,-8.41,-40.39,0.60
159855,影视ETF,2026-04-29,-3.72,-5.19,-1.06,-14.90,-7.28,-10.55,0.89
159670,国联安消费50ETF,2026-04-29,1.53,-5.21,0.20,-4.94,-6.44,-8.33,0.92
515250,富国中证智能汽车主题ETF,2026-04-29,-2.56,-5.21,4.39,-9.05,-8.05,9.59,1.10
515650,富国中证消费50ETF,2026-04-29,1.57,-5.21,0.23,-4.94,-6.21,11.99,1.12
520560,华宝港股通恒生中国(香港上市)30ETF,2026-04-29,-0.17,-5.23,3.25,-11.15,-11.38,-12.68,0.87
515060,华夏中证全指房地产ETF,2026-04-29,1.01,-5.28,3.20,-10.89,-12.42,-32.32,0.68
159795,汇添富中证智能汽车主题ETF,2026-04-29,-2.55,-5.29,4.31,-9.13,-8.16,3.33,1.03
561660,平安中证通用航空主题ETF,2026-04-29,-6.90,-5.37,2.26,-12.50,17.65,17.65,1.18
159889,国泰中证智能汽车主题ETF,2026-04-29,-2.52,-5.40,4.32,-9.18,-8.48,4.23,1.04
159798,易方达中证消费50ETF,2026-04-29,1.59,-5.40,0.20,-5.09,-6.50,-10.05,0.90
159888,华夏中证智能汽车主题ETF,2026-04-29,-2.53,-5.43,4.36,-9.25,-8.61,20.77,1.21
513750,广发中证港股通非银ETF,2026-04-29,1.39,-5.46,3.51,-15.00,-4.91,61.21,1.61
516620,国泰中证影视主题ETF,2026-04-29,-3.89,-5.51,-1.07,-15.25,-7.39,-0.17,1.00
512200,南方中证全指房地产ETF,2026-04-29,0.99,-5.60,2.87,-11.24,-12.88,-49.40,1.41
512600,嘉实中证主要消费ETF,2026-04-29,1.21,-5.62,-0.69,-6.19,-9.41,218.17,0.64
560680,广发中证主要消费ETF,2026-04-29,1.20,-5.64,-0.61,-6.18,-9.36,-18.19,0.82
159168,富国中证工业有色金属主题ETF,2026-04-29,-3.09,-5.69,7.83,-5.69,-5.69,-5.69,0.94
510810,中证上海国企ETF,2026-04-29,-0.62,-5.72,1.01,-8.53,-7.54,-2.95,0.88
159132,富国恒生生物科技ETF,2026-04-29,-4.63,-5.74,0.18,-9.14,-6.11,-6.11,0.94
515710,华宝中证细分食品饮料产业主题ETF,2026-04-29,1.65,-5.74,-0.33,-8.11,-9.45,-45.04,0.55
520580,招商利安新兴亚洲精选ETF(QDII),2026-04-28,-1.97,-5.76,2.07,-5.62,-7.34,-2.87,--
520930,国泰恒生生物科技ETF,2026-04-29,-4.59,-5.78,0.24,-5.78,-5.78,-5.78,0.94
159928,汇添富中证主要消费ETF,2026-04-29,1.21,-5.81,-0.80,-6.34,-9.62,198.75,0.75
159862,食品ETF,2026-04-29,1.65,-5.83,-0.38,-8.16,-9.71,-39.71,0.60
513590,香港消费,2026-04-29,-0.97,-5.84,0.07,-11.82,-13.45,-14.36,0.86
512940,华安中证有色金属矿业主题ETF,2026-04-29,-2.24,-5.88,7.94,-5.88,-5.88,-5.88,0.94
515170,华夏中证细分食品饮料产业主题ETF,2026-04-29,1.68,-5.88,-0.35,-8.25,-9.66,-48.48,0.52
520760,摩根恒生生物科技ETF,2026-04-29,-4.26,-5.89,-0.10,-5.89,-5.89,-5.89,0.94
159689,南方中证主要消费ETF,2026-04-29,1.20,-5.90,-0.83,-6.41,-9.86,-29.39,0.71
562580,华夏中证全指可选消费ETF,2026-04-29,0.01,-5.93,2.76,-5.23,-6.55,19.76,1.20
513070,易方达中证港股通消费主题ETF,2026-04-29,-1.01,-5.94,0.11,-12.16,-13.21,22.17,1.22
159672,博时主要消费ETF,2026-04-29,1.17,-5.98,-0.86,-6.46,-9.89,-29.73,0.70
159586,南方中证全指计算机ETF,2026-04-29,-3.90,-5.99,2.77,-15.54,-10.71,24.78,1.25
159735,港股消费,2026-04-29,-1.00,-6.02,0.09,-12.11,-13.46,-25.80,0.74
560360,万家中证软件服务ETF,2026-04-29,-3.41,-6.10,3.77,-16.99,-12.27,42.55,1.43
513230,华夏中证港股通消费主题ETF,2026-04-29,-1.02,-6.14,0.08,-12.26,-12.85,-3.49,0.97
516560,华宝养老ETF,2026-04-29,-0.92,-6.34,-0.90,-9.99,-7.93,-19.30,0.81
159872,车联网,2026-04-29,-2.51,-6.37,2.61,-8.66,-7.80,-2.45,0.98
159208,万家国证航天航空行业ETF,2026-04-29,-5.99,-6.47,0.83,-12.60,9.18,30.04,1.30
510150,招商上证消费80ETF,2026-04-29,0.76,-6.47,1.17,-6.68,-10.76,105.38,0.52
159520,消费龙头ETF工银,2026-04-29,1.40,-6.51,1.15,-5.36,-9.10,-1.59,0.98
562930,易方达中证软件服务ETF,2026-04-29,-3.43,-6.52,3.59,-17.35,-13.05,-17.18,0.83
517880,华泰柏瑞中证沪港深品牌消费50ETF,2026-04-29,0.07,-6.63,0.80,-10.11,-11.31,-18.92,0.81
516130,华宝消费龙头ETF,2026-04-29,1.42,-6.64,1.02,-5.46,-9.22,-26.93,0.73
159241,天弘国证航天航空行业ETF,2026-04-29,-6.10,-6.73,0.61,-12.91,8.91,29.22,1.29
159940,广发中证全指金融地产ETF,2026-04-29,0.13,-6.88,2.23,-5.17,-6.91,20.74,1.21
517360,华安中证沪港深科技100ETF,2026-04-29,-2.02,-6.91,0.17,-9.60,-14.98,-1.44,0.99
159172,汇添富中证畜牧养殖产业ETF,2026-04-29,-0.62,-7.03,-0.39,-7.03,-7.03,-7.03,0.93
159170,港股通互联网ETF永赢,2026-04-29,-2.94,-7.11,-1.01,-7.11,-7.11,-7.11,0.93
159227,华夏国证航天航空行业ETF,2026-04-29,-6.22,-7.11,0.36,-13.25,8.05,26.25,1.26
159852,嘉实中证软件服务ETF,2026-04-29,-3.66,-7.13,3.19,-17.79,-13.81,-19.80,0.80
159272,富国国证机器人产业ETF,2026-04-29,-1.63,-7.23,6.40,-6.35,-6.50,-12.04,0.88
515730,家居家电ETF,2026-04-29,-0.33,-7.28,-0.21,-10.73,-4.94,-4.94,0.95
159267,华安国证航天航空行业ETF,2026-04-29,-6.22,-7.37,0.25,-13.32,7.52,7.64,1.08
159278,鹏华国证机器人产业ETF,2026-04-29,-1.71,-7.41,6.04,-6.56,-6.97,3.77,1.04
512640,嘉实中证金融地产ETF,2026-04-29,0.12,-7.41,1.93,-5.38,-7.40,135.61,2.35
159931,汇添富中证金融地产ETF,2026-04-29,0.11,-7.42,1.91,-5.39,-7.38,88.20,1.86
159530,易方达国证机器人产业ETF,2026-04-29,-1.70,-7.43,6.17,-6.57,-6.91,46.67,1.47
159559,景顺长城国证机器人产业ETF,2026-04-29,-1.71,-7.45,6.09,-6.58,-7.00,31.66,1.32
516110,国泰中证800汽车与零部件ETF,2026-04-29,-1.23,-7.51,1.70,-3.72,-10.90,32.39,1.32
159933,国投瑞银金融地产ETF,2026-04-29,0.23,-7.63,1.93,-5.01,-6.79,187.01,2.87
513090,易方达中证香港证券投资主题(港股通)ETF,2026-04-29,0.71,-7.87,7.02,-12.56,-17.69,88.48,1.89
510230,国泰上证180金融ETF,2026-04-29,-0.12,-8.08,1.44,-4.43,-5.42,137.06,1.30
560290,景顺长城中证有色金属矿业主题ETF,2026-04-29,-2.26,-8.13,8.04,-8.13,-8.13,-8.13,0.92
517550,招商中证沪港深消费龙头ETF,2026-04-29,-0.51,-8.26,0.33,-10.81,-13.47,-30.12,0.70
517770,浦银安盛中证沪港深游戏及文化传媒ETF,2026-04-29,-3.44,-8.27,-0.66,-24.29,-12.66,7.17,1.07
159899,招商中证全指软件ETF,2026-04-29,-3.59,-8.35,2.63,-17.70,-13.90,-17.73,0.82
516770,华泰柏瑞中证动漫游戏ETF,2026-04-29,-0.29,-8.40,2.32,-17.14,-9.93,36.74,1.37
159707,华宝中证800地产ETF,2026-04-29,0.77,-8.56,2.21,-16.10,-17.02,-43.58,0.56
159565,易方达中证汽车零部件主题ETF,2026-04-29,-3.08,-8.58,4.35,-7.89,-5.35,50.91,1.51
510650,华夏金融ETF,2026-04-29,-0.16,-8.60,1.38,-4.87,-5.59,182.40,2.82
159768,房地产ETF,2026-04-29,0.76,-8.61,2.14,-16.21,-17.27,-49.50,0.51
562700,华夏中证汽车零部件主题ETF,2026-04-29,-3.08,-8.62,4.28,-7.94,-5.27,39.75,1.40
516010,国泰中证动漫游戏ETF,2026-04-29,-0.30,-8.64,2.21,-17.39,-10.35,30.48,1.30
159869,华夏中证动漫游戏ETF,2026-04-29,-0.30,-8.69,2.19,-17.45,-10.46,31.35,1.31
560210,景顺长城农牧渔ETF,2026-04-29,-0.53,-8.78,-1.17,-8.78,-8.78,-8.78,0.91
513560,兴银中证港股通科技ETF,2026-04-29,-2.01,-8.81,1.87,-13.72,-20.02,20.68,1.21
159590,汇添富中证全指软件ETF,2026-04-29,-3.72,-8.82,2.30,-18.07,-15.03,3.55,1.04
159306,平安中证汽车零部件主题ETF,2026-04-29,-3.08,-8.88,4.04,-8.14,-5.78,34.56,1.35
515230,国泰中证全指软件ETF,2026-04-29,-3.74,-8.92,2.26,-18.20,-14.82,-18.57,0.81
159751,港股科技ETF,2026-04-29,-2.00,-8.94,1.87,-13.93,-19.91,-5.81,0.94
512690,酒ETF,2026-04-29,1.37,-8.94,-0.77,-13.04,-15.54,33.32,0.49
513150,华泰柏瑞中证港股通科技ETF,2026-04-29,-2.03,-9.13,1.86,-14.10,-20.33,2.98,1.03
159269,南方中证港股通科技ETF,2026-04-29,-2.05,-9.17,1.93,-14.26,-20.51,-8.42,0.92
513860,海富通中证港股通科技ETF,2026-04-29,-2.06,-9.17,1.91,-14.25,-20.45,-34.75,0.65
513980,景顺长城中证港股通科技ETF,2026-04-29,-2.04,-9.18,1.89,-14.20,-20.45,-34.82,0.65
513020,国泰中证港股通科技ETF,2026-04-29,-2.05,-9.19,1.90,-14.20,-20.38,1.52,1.02
520860,富国中证港股通科技ETF,2026-04-29,-2.05,-9.26,1.89,-14.32,-20.58,-15.56,0.84
159157,天弘中证工业有色金属主题ETF,2026-04-29,-3.08,-9.27,7.77,-9.27,-9.27,-9.27,0.91
513360,博时全球中国教育(QDII-ETF),2026-04-28,-5.40,-9.27,-1.73,-12.23,-14.66,-51.27,--
520530,港股通科技ETF东财,2026-04-29,-2.05,-9.28,1.82,-14.31,-12.95,-12.95,0.87
589230,南方上证科创板人工智能ETF,2026-04-29,-1.28,-9.29,11.11,-9.40,-9.29,-9.29,0.91
159137,华宝中证港股通医疗主题ETF,2026-04-29,-1.89,-9.31,1.57,-12.30,-9.31,-9.31,0.91
159750,招商中证香港科技ETF(QDII),2026-04-29,-2.06,-10.07,2.02,-14.51,-19.97,-7.99,0.92
561010,华安中证全指软件开发ETF,2026-04-29,-3.59,-10.12,1.02,-18.55,-14.70,3.33,1.03
159747,南方中证香港科技ETF(QDII),2026-04-29,-2.03,-10.29,2.06,-14.75,-20.22,-37.36,1.25
159822,新经济,2026-04-28,-4.45,-10.33,-0.71,-14.58,-16.50,-35.94,--
159162,鹏华中证工业有色金属主题ETF,2026-04-29,-3.07,-10.34,7.64,-19.65,-10.34,-10.34,0.90
159167,港股通医疗ETF工银,2026-04-29,-1.90,-10.34,1.56,-10.34,-10.34,-10.34,0.90
562870,嘉实中证全指证券公司ETF,2026-04-29,-0.07,-10.98,3.36,-10.92,-16.29,-9.24,0.91
159993,龙头券商,2026-04-29,0.43,-11.03,4.58,-10.79,-16.02,16.68,1.17
515850,富国中证全指证券公司ETF,2026-04-29,-0.06,-11.05,3.31,-10.99,-16.36,33.14,1.33
159793,平安中证沪港深线上消费主题ETF,2026-04-29,-2.92,-11.08,0.25,-23.40,-16.84,-8.72,0.91
159842,券商ETF,2026-04-29,-0.07,-11.16,3.16,-11.08,-16.60,2.12,1.02
515010,华夏中证全指证券公司ETF,2026-04-29,-0.06,-11.17,3.27,-11.08,-16.63,23.30,1.23
515560,建信中证全指证券公司ETF,2026-04-29,-0.07,-11.18,3.15,-11.09,-16.59,-1.45,0.99
512570,易方达中证全指证券公司ETF,2026-04-29,-0.07,-11.21,3.24,-11.12,-16.58,7.95,1.08
159848,国联安证券ETF,2026-04-29,-0.07,-11.25,3.17,-11.16,-16.71,6.05,0.86
159260,博时证券公司ETF,2026-04-29,-0.07,-11.26,3.22,-11.14,-15.34,-15.34,0.85
516200,华安中证全指证券公司ETF,2026-04-29,-0.09,-11.28,3.13,-11.16,-16.75,2.75,1.03
560090,汇添富中证全指证券公司ETF,2026-04-29,-0.07,-11.31,3.17,-11.19,-16.81,15.31,1.15
512000,华宝中证全指证券公司ETF,2026-04-29,-0.08,-11.34,3.15,-11.22,-16.84,2.72,0.51
159841,天弘中证全指证券公司ETF,2026-04-29,-0.08,-11.36,3.17,-11.23,-16.88,-2.62,0.97
512880,国泰中证全指证券公司ETF,2026-04-29,-0.07,-11.38,3.16,-11.25,-16.85,7.45,1.07
159692,证券ETF东财,2026-04-29,0.11,-11.40,3.88,-11.01,-16.03,18.73,1.19
512900,南方中证全指证券公司ETF,2026-04-29,-0.07,-11.42,3.15,-11.32,-16.94,6.19,1.06
516730,浦银安盛中证证券公司30ETF,2026-04-29,0.10,-11.50,3.82,-11.07,-16.16,-3.06,0.97
515630,保险证券,2026-04-29,0.35,-11.86,3.01,-12.70,-13.54,27.62,1.28
516980,华富中证证券公司先锋策略ETF,2026-04-29,-0.13,-11.96,2.50,-11.91,-17.08,5.22,1.05
510200,上证券商,2026-04-29,-0.31,-11.99,2.18,-11.55,-15.65,14.47,1.14
513320,易方达恒生港股通新经济ETF,2026-04-29,-2.48,-12.20,0.47,-17.24,-21.87,14.60,1.15
517050,华泰柏瑞中证沪港深互联网ETF,2026-04-29,-2.93,-12.22,0.23,-20.68,-20.89,-25.19,0.75
512070,易方达沪深300非银ETF,2026-04-29,0.89,-12.41,3.41,-12.76,-11.40,142.65,0.81
159729,汇添富中证沪港深互联网ETF,2026-04-29,-2.93,-12.44,-0.03,-20.77,-21.37,-21.56,0.78
159145,广发国证工业软件主题ETF,2026-04-29,-2.10,-12.52,6.46,-11.29,-12.52,-12.52,0.87
517200,嘉实中证沪港深互联网ETF,2026-04-29,-2.96,-12.61,-0.06,-21.03,-21.72,-33.49,0.67
159856,互联网龙头ETF工银,2026-04-29,-2.99,-12.67,-0.02,-21.10,-21.73,-34.22,0.66
159550,互联网ETF沪港深,2026-04-29,-3.00,-12.68,0.09,-21.06,-21.79,-9.39,0.91
159171,博时中证工业有色金属主题ETF,2026-04-29,-3.04,-13.06,7.57,-13.06,-13.06,-13.06,0.87
513890,摩根恒生科技ETF(QDII),2026-04-29,-1.06,-13.41,2.19,-17.22,-22.31,-4.04,0.96
159125,招商国证港股通科技ETF,2026-04-29,-2.10,-13.46,0.45,-18.75,-22.25,-22.25,0.78
520590,鹏华恒生科技ETF(QDII),2026-04-29,-1.17,-13.47,1.92,-17.31,-14.67,-14.67,0.85
159636,港股通科技30ETF工银,2026-04-29,-2.12,-13.49,0.46,-18.81,-23.38,13.78,0.57
159251,万家国证港股通科技ETF,2026-04-29,-2.10,-13.50,0.46,-18.80,-23.40,-16.58,0.83
159740,大成恒生科技ETF(QDII),2026-04-29,-1.17,-13.54,1.99,-17.52,-22.54,-37.61,0.62
159741,嘉实恒生科技ETF(QDII),2026-04-29,-1.17,-13.56,2.03,-17.54,-22.51,-37.65,0.62
159101,华夏国证港股通科技ETF,2026-04-29,-2.12,-13.56,0.45,-18.86,-23.47,-19.70,0.80
520570,南方恒生科技ETF(QDII),2026-04-29,-1.18,-13.56,2.00,-17.55,-20.30,-20.30,0.80
513010,易方达恒生科技ETF(QDII),2026-04-29,-1.17,-13.56,1.95,-17.67,-22.63,-35.08,0.65
513130,华泰柏瑞南方东英恒生科技指数ETF(QDII),2026-04-29,-1.08,-13.58,1.82,-17.58,-22.63,-37.80,0.62
513260,汇添富恒生科技ETF,2026-04-29,-1.17,-13.59,2.01,-17.55,-22.57,21.22,1.21
159128,天弘国证港股通科技ETF,2026-04-29,-2.12,-13.62,0.46,-18.93,-21.18,-21.18,0.79
513580,华安恒生科技ETF,2026-04-29,-1.18,-13.65,1.98,-17.62,-22.68,-37.25,0.63
159742,博时恒生科技ETF(QDII),2026-04-29,-1.19,-13.68,1.96,-17.63,-22.68,-36.12,0.64
520920,天弘恒生科技ETF,2026-04-29,-1.18,-13.72,1.95,-17.69,-22.79,-26.28,0.74
513380,广发恒生科技(QDII-ETF),2026-04-29,-1.21,-13.81,1.89,-17.83,-22.91,14.50,0.57
513180,华夏恒生科技ETF(QDII),2026-04-29,-1.19,-13.99,1.87,-17.99,-22.94,-36.79,0.63
513730,华泰柏瑞南方东英新交所泛东南亚科技ETF(QDII),2026-04-28,-3.63,-14.21,4.31,-13.63,-16.45,20.85,--
563570,兴业中证金融科技ETF,2026-04-29,-4.13,-14.26,0.28,-16.88,-15.53,-15.53,0.84
520670,嘉实恒生港股通科技主题ETF,2026-04-29,-1.61,-14.42,3.10,-20.68,-25.06,-18.28,0.82
159120,国联安港股通科技ETF,2026-04-29,-1.60,-14.43,3.10,-20.65,-21.17,-21.17,0.79
520840,华安恒生港股通科技主题ETF,2026-04-29,-1.60,-14.43,3.09,-20.66,-25.08,-19.60,0.80
159262,广发恒生港股通科技主题ETF,2026-04-29,-1.59,-14.46,3.21,-20.72,-25.12,-9.11,0.91
515720,富国中证金融科技主题ETF,2026-04-29,-3.77,-14.64,0.83,-16.62,-20.34,-21.06,0.79
159163,泰康中证有色金属矿业主题ETF,2026-04-29,-2.24,-14.91,8.09,-14.91,-14.91,-14.91,0.85
159299,易方达中证金融科技主题ETF,2026-04-29,-3.91,-14.94,0.53,-16.95,-20.72,-20.44,0.80
516100,华夏中证金融科技主题ETF,2026-04-29,-3.92,-15.01,0.48,-16.92,-20.87,18.30,1.18
516860,博时金融科技ETF,2026-04-29,-3.95,-15.11,0.42,-16.98,-21.13,22.45,1.22
563870,鹏华中证通用航空主题ETF,2026-04-29,-6.80,-15.18,2.23,-12.31,-15.18,-15.18,0.85
159851,华宝中证金融科技主题ETF,2026-04-29,-4.02,-15.29,0.24,-17.31,-21.41,43.34,0.72
563670,鹏华中证金融科技主题ETF,2026-04-29,-4.03,-15.48,0.21,-17.32,-21.61,-22.63,0.77
159103,汇添富中证金融科技主题ETF,2026-04-29,-4.00,-15.57,0.18,-17.40,-21.77,-23.76,0.76
520850,易方达中证港股通医疗主题ETF,2026-04-29,-1.90,-15.77,1.56,-12.45,-15.77,-15.77,0.84
159135,前海开源恒生港股通科技主题ETF,2026-04-29,-1.61,-16.06,3.02,-16.06,-16.06,-16.06,0.84
513160,科技30,2026-04-29,-1.08,-16.11,3.09,-22.18,-26.12,0.43,1.00
562510,华夏中证旅游主题ETF,2026-04-29,-1.36,-17.34,-3.39,-16.21,-8.06,-32.49,0.68
520980,汇添富恒生港股通中国科技ETF,2026-04-28,-4.04,-17.48,1.68,-24.13,-27.59,-9.91,--
159766,富国中证旅游主题ETF,2026-04-29,-1.39,-17.56,-3.59,-16.39,-8.43,-33.42,0.67
159688,华安恒生互联网科技业ETF(QDII),2026-04-29,-2.92,-17.69,-0.28,-23.17,-26.63,-13.90,0.86
159202,万家恒生互联网科技业ETF(QDII),2026-04-29,-3.01,-17.96,-0.46,-23.48,-26.91,-9.05,0.91
159280,汇添富国证港股通互联网ETF,2026-04-29,-2.93,-18.26,-1.02,-23.43,-28.81,-23.51,0.76
513220,招商中证全球中国互联网ETF(QDII),2026-04-28,-5.66,-18.80,-1.56,-21.08,-27.57,2.55,--
159152,平安恒生港股通科技主题ETF,2026-04-29,-1.59,-18.98,3.00,-18.98,-18.98,-18.98,0.81
513330,华夏恒生互联网科技业ETF(QDII),2026-04-29,-7.04,-19.46,-2.13,-25.28,-28.09,-58.27,0.42
520630,广发中证港股通互联网ETF,2026-04-29,-3.09,-19.48,-2.63,-26.05,-21.94,-21.94,0.78
520650,南方中证港股通互联网ETF,2026-04-29,-3.11,-19.61,-2.64,-26.21,-28.87,-28.87,0.71
513040,易方达中证港股通互联网ETF,2026-04-29,-3.11,-19.62,-2.65,-26.23,-29.79,11.80,1.12
513770,华宝中证港股通互联网ETF,2026-04-29,-3.11,-19.67,-2.67,-26.24,-30.02,-16.02,0.42
159792,富国中证港股通互联网ETF,2026-04-29,-3.13,-19.68,-2.63,-26.25,-30.13,-31.53,0.68
159568,博时港股通互联网ETF,2026-04-29,-3.12,-19.70,-2.69,-26.25,-30.12,33.98,1.34
159607,嘉实中证海外中国互联网30ETF(QDII),2026-04-28,-5.98,-19.72,-1.90,-22.05,-28.47,-13.15,--
513050,易方达中证海外中国互联网50(QDII-ETF),2026-04-28,-6.83,-19.90,-2.03,-24.15,-29.17,18.11,--
159605,广发中证海外中国互联网30(QDII-ETF),2026-04-28,-6.14,-19.96,-2.22,-22.25,-28.69,-13.15,--
513720,国泰中证港股通互联网ETF,2026-04-29,-3.12,-22.27,-2.68,-26.21,-22.25,-22.25,0.78
520910,华夏中证港股通互联网ETF,2026-04-29,-3.11,-24.83,-2.64,-24.95,-24.83,-24.83,0.75
