代码,名称,日期,周收益(%),近一月(%),近三月(%),近半年(%),近一年(%),总收益(%),净值
511770,金鹰现金增益E,2026-04-29,0.02,0.23,0.08,0.21,0.25,11.02,16.35
515960,嘉实医药健康100ETF,2026-04-29,0.16,0.22,2.15,-2.85,-6.59,-17.35,0.83
159105,易方达恒生生物科技ETF,2026-04-29,-4.60,0.22,0.23,-9.01,-9.03,-9.28,0.91
562360,机器人YH,2026-04-29,-0.10,0.20,9.57,-4.58,-2.56,10.27,1.10
517080,汇添富中证沪港深500ETF,2026-04-28,-1.55,0.19,4.09,-4.72,-2.16,1.54,--
517350,广发中证沪港深科技龙头ETF,2026-04-29,-0.50,0.17,11.00,-4.08,-7.19,-8.16,0.92
159529,景顺长城标普消费精选ETF(QDII),2026-04-28,-0.22,0.13,6.27,-2.64,-1.68,29.72,--
512980,广发中证传媒ETF,2026-04-29,-3.67,0.12,0.99,-18.86,0.94,-0.45,1.00
510990,180ESGETF工银,2026-04-29,0.53,0.10,4.08,-3.92,-1.71,4.93,1.05
512670,国防ETF,2026-04-29,-6.02,0.09,2.52,-9.89,7.42,80.70,0.90
159873,天弘中证全指医疗保健设备与服务ETF,2026-04-29,-0.80,0.09,1.15,-6.93,-7.65,-42.75,0.57
159193,新能源电池ETF银华,2026-04-24,--,0.04,0.04,0.04,0.04,0.04,--
159015,国联恒生港股通科技ETF,2026-04-24,--,0.01,0.01,0.01,0.01,0.01,--
159017,石油ETF工银,2026-04-24,--,0.00,0.00,0.00,0.00,0.00,--
159030,华夏国证粮食产业ETF,2026-04-24,--,0.00,0.00,0.00,0.00,0.00,--
159182,南方中证全指家用电器ETF,2026-04-24,--,0.00,0.00,0.00,0.00,0.00,--
513240,华安中证港股通信息技术综合ETF,2026-04-27,--,0.00,0.00,0.00,0.00,0.00,--
512140,华安中证全指电力公用事业ETF,2026-04-27,--,0.00,0.00,0.00,0.00,0.00,--
560260,广发中证医疗ETF,2026-04-29,0.78,0.00,3.65,-6.04,-9.72,-14.89,0.85
513400,道琼斯ETF,2026-04-28,-0.02,-0.02,7.85,-1.21,0.07,22.23,--
159199,平安国证石油天然气ETF,2026-04-29,3.24,-0.03,-0.03,-0.03,-0.03,-0.03,1.00
159976,湾创ETF工银,2026-04-29,0.23,-0.04,7.13,-1.78,-4.02,35.44,1.35
512430,华泰柏瑞中证家居家电ETF,2026-04-24,--,-0.04,-0.04,-0.04,-0.04,-0.04,--
159828,国泰中证医疗ETF,2026-04-29,0.79,-0.05,3.66,-6.08,-9.49,-57.84,0.42
561920,招商中证疫苗与生物技术ETF,2026-04-29,-3.43,-0.17,1.55,-4.77,-8.67,-29.92,0.70
513200,易方达中证港股通医药卫生综合ETF,2026-04-29,-4.33,-0.21,0.45,-9.28,-10.61,4.09,1.04
520880,华宝恒生港股通创新药精选ETF,2026-04-29,-6.70,-0.26,-0.30,-6.47,-8.91,-0.27,0.50
159929,汇添富中证医药卫生ETF,2026-04-29,0.97,-0.26,1.79,-3.12,-8.95,32.91,1.33
512170,华宝中证医疗ETF,2026-04-29,0.71,-0.29,3.39,-6.29,-9.93,1.52,0.34
516820,平安中证医疗创新ETF,2026-04-29,1.90,-0.39,1.82,-1.81,-8.36,-64.15,0.36
513700,香港医药,2026-04-29,-4.25,-0.39,0.42,-9.19,-10.66,-38.07,0.62
512450,广发中证畜牧养殖产业ETF,2026-04-29,-0.64,-0.40,-0.16,-0.40,-0.40,-0.40,1.00
159191,易方达国证港股通科技ETF,2026-04-29,-2.11,-0.40,0.45,-0.40,-0.40,-0.40,1.00
159805,传媒ETF,2026-04-29,-3.63,-0.42,1.08,-18.70,0.30,38.97,1.39
520690,博时恒生港股通创新药精选ETF,2026-04-29,-6.68,-0.43,-0.25,-6.61,-9.15,-19.10,0.81
159126,南方中证港股通50ETF,2026-04-29,-0.27,-0.45,4.66,-7.64,-3.27,-3.34,0.97
159837,易方达中证生物科技主题ETF,2026-04-29,0.16,-0.49,3.24,-4.50,-10.03,-50.96,0.49
159877,南方中证全指医疗保健设备与服务ETF,2026-04-29,-0.96,-0.51,0.78,-7.42,-8.41,-43.49,0.57
159938,广发中证全指医药卫生ETF,2026-04-29,0.48,-0.52,2.02,-3.30,-8.84,29.08,0.65
516500,华夏中证生物科技主题ETF,2026-04-29,0.26,-0.54,3.47,-4.48,-10.53,-37.73,0.62
159776,港股通医药ETF,2026-04-29,-4.30,-0.55,0.40,-9.34,-10.73,16.59,1.17
560030,汇添富中证800价值ETF,2026-04-29,0.89,-0.56,1.96,-3.18,1.02,32.89,1.33
159316,易方达恒生港股通创新药ETF,2026-04-29,-6.65,-0.56,-0.06,-6.60,-8.84,25.76,1.26
513290,汇添富纳斯达克生物科技ETF,2026-04-28,-3.62,-0.58,4.04,-2.64,6.10,45.16,--
